,Unnamed: 0,Seat,State,Name,LQ Score,Year,Party
321,321,1,OKLAHOMA,Sullivan,5,2010,R
322,322,3,OREGON,Blumenauer,100,2010,D
323,323,4,OREGON,DeFazio,95,2010,D
324,324,5,OREGON,Schrader,85,2010,D
325,325,2,OREGON,Walden,0,2010,R
326,326,1,OREGON,Wu,85,2010,D
327,327,4,PENNSYLVANIA,Altmire,65,2010,D
328,328,1,PENNSYLVANIA,Brady R.,95,2010,D
329,329,10,PENNSYLVANIA,Carney,65,2010,D
330,330,12,PENNSYLVANIA,Critz,45,2010,D
331,331,3,PENNSYLVANIA,Dahlkemper,90,2010,D
332,332,15,PENNSYLVANIA,Dent,25,2010,R
333,333,14,PENNSYLVANIA,Doyle,90,2010,D
334,334,2,PENNSYLVANIA,Fattah,95,2010,D
335,335,6,PENNSYLVANIA,Gerlach,10,2010,R
336,336,17,PENNSYLVANIA,Holden,55,2010,D
337,337,11,PENNSYLVANIA,Kanjorski,90,2010,D
338,338,8,PENNSYLVANIA,Murphy P.,80,2010,D
339,339,18,PENNSYLVANIA,Murphy T.,15,2010,R
340,340,16,PENNSYLVANIA,Pitts,0,2010,R
341,341,19,PENNSYLVANIA,Platts,15,2010,R
342,342,13,PENNSYLVANIA,Schwartz,90,2010,D
343,343,7,PENNSYLVANIA,Sestak,90,2010,D
344,344,9,PENNSYLVANIA,Shuster,0,2010,R
345,345,5,PENNSYLVANIA,Thompson G.,0,2010,R
346,346,1,RHODE ISLAND,Kennedy,90,2010,D
347,347,2,RHODE ISLAND,Langevin,85,2010,D
348,348,3,SOUTH CAROLINA,Barrett,5,2010,R
349,349,1,SOUTH CAROLINA,Brown H.,0,2010,R
350,350,6,SOUTH CAROLINA,Clyburn,95,2010,D
351,351,4,SOUTH CAROLINA,Inglis,10,2010,R
352,352,5,SOUTH CAROLINA,Spratt,85,2010,D
353,353,2,SOUTH CAROLINA,Wilson J.,5,2010,R
354,354,1,SOUTH DAKOTA,Herseth Sandlin,50,2010,D
355,355,7,TENNESSEE,Blackburn M.,0,2010,R
356,356,9,TENNESSEE,Cohen,100,2010,D
357,357,5,TENNESSEE,Cooper,55,2010,D
358,358,4,TENNESSEE,Davis L.,45,2010,D
359,359,2,TENNESSEE,Duncan,5,2010,R
360,360,6,TENNESSEE,Gordon,80,2010,D
361,361,1,TENNESSEE,Roe,0,2010,R
362,362,8,TENNESSEE,Tanner,50,2010,D
363,363,3,TENNESSEE,Wamp,0,2010,R
364,364,6,TEXAS,Barton,5,2010,R
365,365,8,TEXAS,Brady K.,0,2010,R
366,366,26,TEXAS,Burgess,5,2010,R
367,367,31,TEXAS,Carter,0,2010,R
368,368,11,TEXAS,Conaway,0,2010,R
369,369,28,TEXAS,Cuellar,75,2010,D
370,370,7,TEXAS,Culberson,0,2010,R
371,371,25,TEXAS,Doggett,95,2010,D
372,372,17,TEXAS,Edwards C.,55,2010,D
373,373,1,TEXAS,Gohmert,5,2010,R
374,374,20,TEXAS,Gonzalez,90,2010,D
375,375,12,TEXAS,Granger,0,2010,R
376,376,9,TEXAS,Green A.,90,2010,D
377,377,29,TEXAS,Green G.,80,2010,D
378,378,4,TEXAS,Hall R.,0,2010,R
379,379,5,TEXAS,Hensarling,0,2010,R
380,380,15,TEXAS,Hinojosa,75,2010,D
381,381,18,TEXAS,Jackson Lee,95,2010,D
382,382,3,TEXAS,Johnson S.,0,2010,R
383,383,30,TEXAS,Johnson E.,85,2010,D
384,384,24,TEXAS,Marchant,5,2010,R
385,385,10,TEXAS,McCaul,0,2010,R
386,386,19,TEXAS,Neugebauer,0,2010,R
387,387,22,TEXAS,Olson,0,2010,R
388,388,27,TEXAS,Ortiz,60,2010,D
389,389,14,TEXAS,Paul Ron,15,2010,R
390,390,2,TEXAS,Poe,5,2010,R
391,391,16,TEXAS,Reyes,75,2010,D
392,392,23,TEXAS,Rodriguez,90,2010,D
393,393,32,TEXAS,Sessions P.,0,2010,R
394,394,21,TEXAS,Smith Lamar,0,2010,R
395,395,13,TEXAS,Thornberry,0,2010,R
396,396,1,UTAH,Bishop R.,0,2010,R
397,397,3,UTAH,Chaffetz,10,2010,R
398,398,2,UTAH,Matheson,60,2010,D
399,399,1,VERMONT,Welch,95,2010,D
400,400,9,VIRGINIA,Boucher,55,2010,D
401,401,7,VIRGINIA,Cantor,0,2010,R
402,402,11,VIRGINIA,Connolly,85,2010,D
403,403,4,VIRGINIA,Forbes,5,2010,R
404,404,6,VIRGINIA,Goodlatte,0,2010,R
405,405,8,VIRGINIA,Moran James,100,2010,D
406,406,2,VIRGINIA,Nye,45,2010,D
407,407,5,VIRGINIA,Perriello,75,2010,D
408,408,3,VIRGINIA,Scott R.,100,2010,D
409,409,1,VIRGINIA,Wittman,5,2010,R
410,410,10,VIRGINIA,Wolf,10,2010,R
411,411,3,WASHINGTON,Baird,65,2010,D
412,412,6,WASHINGTON,Dicks,90,2010,D
413,413,4,WASHINGTON,Hastings D.,0,2010,R
414,414,1,WASHINGTON,Inslee,95,2010,D
415,415,2,WASHINGTON,Larsen R.,90,2010,D
416,416,7,WASHINGTON,McDermott,100,2010,D
417,417,5,WASHINGTON,McMorris Rodgers,0,2010,R
418,418,8,WASHINGTON,Reichert,20,2010,R
419,419,9,WASHINGTON,Smith Adam,90,2010,D
420,420,2,WEST VIRGINIA,Capito,10,2010,R
421,421,1,WEST VIRGINIA,Mollohan,65,2010,D
422,422,3,WEST VIRGINIA,Rahall,60,2010,D
423,423,2,WISCONSIN,Baldwin,100,2010,D
424,424,8,WISCONSIN,Kagen,95,2010,D
425,425,3,WISCONSIN,Kind,95,2010,D
426,426,4,WISCONSIN,Moore G.,100,2010,D
427,427,7,WISCONSIN,Obey,90,2010,D
428,428,6,WISCONSIN,Petri,10,2010,R
429,429,1,WISCONSIN,Ryan P.,0,2010,R
430,430,5,WISCONSIN,Sensenbrenner,0,2010,R
431,431,1,WYOMING,Lummis,0,2010,R
432,432,4,ALABAMA,Aderholt,10,2011,R
433,433,6,ALABAMA,Bachus S.,0,2011,R
434,434,1,ALABAMA,Bonner,5,2011,R
435,435,5,ALABAMA,Brooks,5,2011,R
436,436,2,ALABAMA,Roby,0,2011,R
437,437,3,ALABAMA,Rogers Mike D.,5,2011,R
438,438,7,ALABAMA,Sewell,75,2011,D
439,439,1,ALASKA,Young D.,30,2011,R
440,440,6,ARIZONA,Flake,0,2011,R
441,441,2,ARIZONA,Franks T.,0,2011,R
442,442,1,ARIZONA,Gosar,0,2011,R
443,443,7,ARIZONA,Grijalva,100,2011,D
444,444,4,ARIZONA,Pastor,100,2011,D
445,445,3,ARIZONA,Quayle,0,2011,R
446,446,5,ARIZONA,Schweikert,5,2011,R
447,447,1,ARKANSAS,Crawford,0,2011,R
448,448,2,ARKANSAS,Griffi n,0,2011,R
449,449,4,ARKANSAS,Ross M.,35,2011,D
450,450,3,ARKANSAS,Womack,0,2011,R
451,451,43,CALIFORNIA,Baca,75,2011,D
452,452,33,CALIFORNIA,Bass K.,90,2011,D
453,453,31,CALIFORNIA,Becerra,90,2011,D
454,454,28,CALIFORNIA,Berman,85,2011,D
455,455,50,CALIFORNIA,Bilbray,0,2011,R
456,456,45,CALIFORNIA,Bono Mack,10,2011,R
457,457,44,CALIFORNIA,Calvert,0,2011,R
458,458,48,CALIFORNIA,Campbell,15,2011,R
459,459,23,CALIFORNIA,Capps,90,2011,D
460,460,18,CALIFORNIA,Cardoza,60,2011,D
461,461,32,CALIFORNIA,Chu,100,2011,D
462,462,20,CALIFORNIA,Costa,55,2011,D
463,463,53,CALIFORNIA,Davis S.,80,2011,D
464,464,19,CALIFORNIA,Denham,0,2011,R
465,465,26,CALIFORNIA,Dreier,5,2011,R
466,466,14,CALIFORNIA,Eshoo,90,2011,D
467,467,17,CALIFORNIA,Farr,100,2011,D
468,468,51,CALIFORNIA,Filner,90,2011,D
469,469,24,CALIFORNIA,Gallegly,0,2011,R
470,470,10,CALIFORNIA,Garamendi,90,2011,D
471,471,2,CALIFORNIA,Herger,0,2011,R
472,472,15,CALIFORNIA,Honda,95,2011,D
473,473,52,CALIFORNIA,Hunter,10,2011,R
474,474,49,CALIFORNIA,Issa,0,2011,R
475,475,9,CALIFORNIA,Lee,100,2011,D
476,476,41,CALIFORNIA,Lewis Jerry,0,2011,R
477,477,16,CALIFORNIA,Lofgren,85,2011,D
478,478,3,CALIFORNIA,Lungren,0,2011,R
479,479,5,CALIFORNIA,Matsui,90,2011,D
480,480,22,CALIFORNIA,McCarthy K.,0,2011,R
481,481,4,CALIFORNIA,McClintock,10,2011,R
482,482,25,CALIFORNIA,McKeon,0,2011,R
483,483,11,CALIFORNIA,McNerney,90,2011,D
484,484,7,CALIFORNIA,Miller George,100,2011,D
485,485,42,CALIFORNIA,Miller Gary,0,2011,R
486,486,38,CALIFORNIA,Napolitano,95,2011,D
487,487,21,CALIFORNIA,Nunes,0,2011,R
488,488,8,CALIFORNIA,Pelosi,75,2011,D
489,489,37,CALIFORNIA,Richardson,95,2011,D
490,490,46,CALIFORNIA,Rohrabacher,20,2011,R
491,491,34,CALIFORNIA,RoybalAllard,95,2011,D
492,492,40,CALIFORNIA,Royce,0,2011,R
493,493,39,CALIFORNIA,Sanchez Linda,100,2011,D
494,494,47,CALIFORNIA,Sanchez Loretta,85,2011,D
495,495,29,CALIFORNIA,Schiff,80,2011,D
496,496,27,CALIFORNIA,Sherman,90,2011,D
497,497,12,CALIFORNIA,Speier,90,2011,D
498,498,13,CALIFORNIA,Stark,95,2011,D
499,499,1,CALIFORNIA,Thompson M.,90,2011,D
500,500,35,CALIFORNIA,Waters,95,2011,D
501,501,30,CALIFORNIA,Waxman,95,2011,D
502,502,6,CALIFORNIA,Woolsey,95,2011,D
503,503,6,COLORADO,Coffman,5,2011,R
504,504,1,COLORADO,DeGette,90,2011,D
505,505,4,COLORADO,Gardner,0,2011,R
506,506,5,COLORADO,Lamborn,0,2011,R
507,507,7,COLORADO,Perlmutter,75,2011,D
508,508,2,COLORADO,Polis,85,2011,D
509,509,3,COLORADO,Tipton,0,2011,R
510,510,2,CONNECTICUT,Courtney,80,2011,D
511,511,3,CONNECTICUT,DeLauro,90,2011,D
512,512,4,CONNECTICUT,Himes,85,2011,D
513,513,1,CONNECTICUT,Larson J.,90,2011,D
514,514,5,CONNECTICUT,Murphy C.,85,2011,D
515,515,1,DELAWARE,Carney,80,2011,D
516,516,24,FLORIDA,Adams,5,2011,R
517,517,9,FLORIDA,Bilirakis,0,2011,R
518,518,3,FLORIDA,Brown C.,90,2011,D
519,519,13,FLORIDA,Buchanan,0,2011,R
520,520,11,FLORIDA,Castor,75,2011,D
521,521,4,FLORIDA,Crenshaw,5,2011,R
522,522,19,FLORIDA,Deutch,80,2011,D
523,523,21,FLORIDA,DiazBalart,20,2011,R
