,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
14141,1998,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,False,False,TOM CAMPBELL,REPUBLICAN,False,TOTAL,111876,184778,False,20230706,False
14142,1998,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,False,False,HORACE EUGENE THAYN,REPUBLICAN,False,TOTAL,27494,117414,False,20230706,False
14143,1998,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,False,False,JOHN H BLACK,NATURAL LAW,False,TOTAL,4417,117414,False,20230706,False
14144,1998,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,False,False,ZOE LOFGREN,DEMOCRAT,False,TOTAL,85503,117414,False,20230706,False
14145,1998,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,False,False,BILL MCCAMPBELL,REPUBLICAN,False,TOTAL,52470,160690,False,20230706,False
14146,1998,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,False,False,RICK S GARRETT,LIBERTARIAN,False,TOTAL,2791,160690,False,20230706,False
14147,1998,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,False,False,SAM FARR,DEMOCRAT,False,TOTAL,103719,160690,False,20230706,False
14148,1998,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,False,False,SCOTT R HARTLEY,NATURAL LAW,False,TOTAL,1710,160690,False,20230706,False
14149,1998,CALIFORNIA,CA,6,93,71,US HOUSE,18,GEN,False,False,GARY A CONDIT,DEMOCRAT,False,TOTAL,118842,136931,False,20230706,False
14150,1998,CALIFORNIA,CA,6,93,71,US HOUSE,18,GEN,False,False,LINDA M DEGROAT,LIBERTARIAN,False,TOTAL,18089,136931,False,20230706,False
14151,1998,CALIFORNIA,CA,6,93,71,US HOUSE,19,GEN,False,False,GEORGE P RADANOVICH,REPUBLICAN,False,TOTAL,131105,165149,False,20230706,False
14152,1998,CALIFORNIA,CA,6,93,71,US HOUSE,19,GEN,False,False,JONATHAN RICHTER,LIBERTARIAN,False,TOTAL,34044,165149,False,20230706,False
14153,1998,CALIFORNIA,CA,6,93,71,US HOUSE,20,GEN,False,False,CALVIN M DOOLEY,DEMOCRAT,False,TOTAL,60599,99782,False,20230706,False
14154,1998,CALIFORNIA,CA,6,93,71,US HOUSE,20,GEN,False,False,CLIFF UNRUH,REPUBLICAN,False,TOTAL,39183,99782,False,20230706,False
14155,1998,CALIFORNIA,CA,6,93,71,US HOUSE,21,GEN,False,False,JOHN EVANS,REFORM,False,TOTAL,30994,146983,False,20230706,False
14156,1998,CALIFORNIA,CA,6,93,71,US HOUSE,21,GEN,False,False,WILLIAM M THOMAS,REPUBLICAN,False,TOTAL,115989,146983,False,20230706,False
14157,1998,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,False,False,LOIS CAPPS,DEMOCRAT,False,TOTAL,109517,199264,False,20230706,False
14158,1998,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,False,False,"RICHARD D ""DICK"" PORTER",REFORM,False,TOTAL,1241,199264,False,20230706,False
14159,1998,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,False,False,ROBERT BAKHAUS,LIBERTARIAN,False,TOTAL,2579,199264,False,20230706,False
14160,1998,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,False,False,TOM J BORDONARO JR,REPUBLICAN,False,TOTAL,85927,199264,False,20230706,False
14161,1998,CALIFORNIA,CA,6,93,71,US HOUSE,23,GEN,False,False,"DANIEL ""DAN"" GONZALEZ",DEMOCRAT,False,TOTAL,64032,160354,False,20230706,False
14162,1998,CALIFORNIA,CA,6,93,71,US HOUSE,23,GEN,False,False,ELTON GALLEGLY,REPUBLICAN,False,TOTAL,96322,160354,False,20230706,False
14163,1998,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,False,False,BRAD SHERMAN,DEMOCRAT,False,TOTAL,103491,180580,False,20230706,False
14164,1998,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,False,False,CATHERINE CARTER,NATURAL LAW,False,TOTAL,3033,180580,False,20230706,False
14165,1998,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,False,False,ERICH D MILLER,LIBERTARIAN,False,TOTAL,2695,180580,False,20230706,False
14166,1998,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,False,False,RALPH SHROYER,PEACE AND FREEDOM,False,TOTAL,1860,180580,False,20230706,False
14167,1998,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,False,False,RANDY HOFFMAN,REPUBLICAN,False,TOTAL,69501,180580,False,20230706,False
14168,1998,CALIFORNIA,CA,6,93,71,US HOUSE,25,GEN,False,False,BRUCE R ACKER,LIBERTARIAN,False,TOTAL,38669,152682,False,20230706,False
14169,1998,CALIFORNIA,CA,6,93,71,US HOUSE,25,GEN,False,False,"HOWARD P ""BUCK"" MCKEON",REPUBLICAN,False,TOTAL,114013,152682,False,20230706,False
14170,1998,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,False,False,DAVID L COSSAK,NATURAL LAW,False,TOTAL,3248,83662,False,20230706,False
14171,1998,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,False,False,HOWARD L BERMAN,DEMOCRAT,False,TOTAL,69000,83662,False,20230706,False
14172,1998,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,False,False,JUAN CARLOS ROS,LIBERTARIAN,False,TOTAL,6556,83662,False,20230706,False
14173,1998,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,False,False,MARIA ARMOUDIAN,GREEN,False,TOTAL,4858,83662,False,20230706,False
14174,1998,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,False,False,BARRY A GORDON,DEMOCRAT,False,TOTAL,73875,159066,False,20230706,False
14175,1998,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,False,False,BOB NEW,LIBERTARIAN,False,TOTAL,4489,159066,False,20230706,False
14176,1998,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,False,False,JAMES E ROGAN,REPUBLICAN,False,TOTAL,80702,159066,False,20230706,False
14177,1998,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,False,False,DAVID DREIER,REPUBLICAN,False,TOTAL,90607,157200,False,20230706,False
14178,1998,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,False,False,JANICE M NELSON,DEMOCRAT,False,TOTAL,61721,157200,False,20230706,False
14179,1998,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,False,False,JERRY R DOUGLAS,LIBERTARIAN,False,TOTAL,2099,157200,False,20230706,False
14180,1998,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,False,False,M LAWRENCE ALLISON,NATURAL LAW,False,TOTAL,819,157200,False,20230706,False
14181,1998,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,False,False,WALT CONTRERAS SHEASBY,GREEN,False,TOTAL,1954,157200,False,20230706,False
14182,1998,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,False,False,HENRY A WAXMAN,DEMOCRAT,False,TOTAL,131561,178094,False,20230706,False
14183,1998,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,False,False,KAREN BLASDELL-WILKINSON,NATURAL LAW,False,TOTAL,2717,178094,False,20230706,False
14184,1998,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,False,False,MIKE BINKLEY,LIBERTARIAN,False,TOTAL,3534,178094,False,20230706,False
14185,1998,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,False,False,MIKE GOTTLIEB,REPUBLICAN,False,TOTAL,40282,178094,False,20230706,False
14186,1998,CALIFORNIA,CA,6,93,71,US HOUSE,30,GEN,False,False,PATRICIA PARKER,REPUBLICAN,False,TOTAL,12441,70671,False,20230706,False
14187,1998,CALIFORNIA,CA,6,93,71,US HOUSE,30,GEN,False,False,XAVIER BECERRA,DEMOCRAT,False,TOTAL,58230,70671,False,20230706,False
14188,1998,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,False,False,FRANK C MORENO,REPUBLICAN,False,TOTAL,19786,87360,False,20230706,False
14189,1998,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,False,False,GARY HEARNE,NATURAL LAW,False,TOTAL,903,87360,False,20230706,False
14190,1998,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,False,False,KRISTA LIEBERG-WONG,GREEN,False,TOTAL,4377,87360,False,20230706,False
14191,1998,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,False,False,MATTHEW G MARTINEZ,DEMOCRAT,False,TOTAL,61173,87360,False,20230706,False
14192,1998,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,False,False,MICHAEL B EVERLING,LIBERTARIAN,False,TOTAL,1121,87360,False,20230706,False
14193,1998,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,False,False,JULIAN C DIXON,DEMOCRAT,False,TOTAL,112253,129492,False,20230706,False
14194,1998,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,False,False,LAURENCE ARDITO,REPUBLICAN,False,TOTAL,14622,129492,False,20230706,False
14195,1998,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,False,False,VELKO MILOSEVICH,LIBERTARIAN,False,TOTAL,2617,129492,False,20230706,False
14196,1998,CALIFORNIA,CA,6,93,71,US HOUSE,33,GEN,False,False,LUCILLE ROYBAL-ALLARD,DEMOCRAT,False,TOTAL,43310,49674,False,20230706,False
14197,1998,CALIFORNIA,CA,6,93,71,US HOUSE,33,GEN,False,False,WAYNE MILLER,REPUBLICAN,False,TOTAL,6364,49674,False,20230706,False
14198,1998,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,False,False,ED PEREZ,REPUBLICAN,False,TOTAL,32321,113075,False,20230706,False
14199,1998,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,False,False,GRACE FLORES NAPOLITANO,DEMOCRAT,False,TOTAL,76471,113075,False,20230706,False
14200,1998,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,False,False,JASON HEATH,LIBERTARIAN,False,TOTAL,2195,113075,False,20230706,False
14201,1998,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,False,False,WALTER SCOTT,AMERICAN INDEPENDENT,False,TOTAL,2088,113075,False,20230706,False
14202,1998,CALIFORNIA,CA,6,93,71,US HOUSE,35,GEN,False,False,GORDON MICHAEL MEGO,AMERICAN INDEPENDENT,False,TOTAL,9413,88145,False,20230706,False
14203,1998,CALIFORNIA,CA,6,93,71,US HOUSE,35,GEN,False,False,MAXINE WATERS,DEMOCRAT,False,TOTAL,78732,88145,False,20230706,False
